id,章节,规则描述,适用对象,校验方式,正则/路径表达式,严重等级,建议提示
F832,8.8.3,符号和缩略语清单中的条目之前不应给出序号，应按字母顺序（大写先、无角标先、希腊字母后、特殊符号最后）排列。,列表项,manual,,warning,请按8.8.3a-d规则对符号/缩略语进行排序，且不得编号。
F833,8.8.3,符号和缩略语的说明或定义应使用陈述型条款，不应包含要求和推荐型条款。,说明文本,regex,应|不应|必须|不得|宜|不宜,error,符号/缩略语说明中不得出现要求或推荐性表述。
F834,8.11,核心技术要素应符合表4的规定，与标准功能类型对应。术语标准（陈述）、符号标准（陈述）、分类标准（陈述/要求）、试验标准（指示/要求/陈述）、规范标准（要求/指示/陈述）、规程标准（陈述/指示/要求）、指南标准（推荐/陈述）。,核心要素,manual,,error,请根据标准功能类型（见表4），检查核心技术要素使用的条款类型是否正确。
F835,8.13,参考文献应置于最后一个附录之后。若有资料性引用文件，应设置该要素。不应分条，可分组但标题不应编号。,章节位置,manual,,error,参考文献应在所有附录之后，不分条，标题不编号。
F836,8.13,参考文献清单中每个信息资源前应在方括号中给出序号。,列表项,regex,^\[\d+\],error,参考文献中的每个条目应以“[序号]”开头。
F837,8.13,参考文献中列出的国际文件、国外文件不必给出中文译名。,列表项,manual,,warning,参考文献中的外文文件可直接列出原文名称，无需翻译。
F838,8.14,索引应作为文件的最后一个要素。索引项应以关键词的汉语拼音字母顺序编排，可标出首字母。,索引,manual,,warning,索引应置于文件末尾，索引项宜按拼音字母顺序排列。
F839,9.1,条款类型应使用附录C规定的能愿动词或句子语气类型区分要求、指示、推荐、允许和陈述。,全文条款,manual,,error,请对照附录C，检查条款中使用的能愿动词（应、宜、可等）是否符合条款类型。
F840,9.2,附加信息（如示例、注、脚注、参考文献清单等）应为对事实的陈述，不应包含要求、指示、推荐或允许型条款。例外情况见9.2注。,附加信息,xpath,//w:p[contains(w:r/w:t, ‘示例’) or contains(w:r/w:t, ‘注’)]/descendant::w:t,error,示例、注等内容中不得包含“应”“宜”“可”等条款性表述。
F841,9.3,通用内容应作为章/条的首条。根据内容可选标题：“通用要求”（全要求型）、“通则”（含要求）、“概述”（全陈述型，少用）。,条标题,manual,,error,检查各章/条开头是否有“通用要求”“通则”“概述”等标题，并确保其条款类型符合9.3规定。
F842,9.4.1,文件应使用规范汉字，标点符号应符合GB/T 15834。,全文文本,manual,,warning,全文应使用规范简体汉字，标点符号使用正确。
F843,9.4.2.1,“遵守”用于人员或组织的行动条款；“符合”用于产品/系统/过程/服务特性符合文件要求的条款。,全文文本,manual,,warning,请区分使用“遵守”（对“人”）和“符合”（对“物”）。
F844,9.4.2.2,“尽可能”“尽量”“考虑”“避免”“慎重”等词语不应与“应”一起使用。,全文文本,regex,应\s*(尽可能|尽量|考虑|避免|慎重),error,“应”不应与“尽可能”“尽量避免”等词语连用，以免产生歧义。
F845,7.5.3,列项第一层符号为破折号（——）或字母编号（a））；第二层符号为间隔号（·）或数字编号（1））。,列项,xpath,//w:p[starts-with(w:r/w:t, ‘——’) or starts-with(w:r/w:t, ‘a)’) or starts-with(w:r/w:t, ‘·’) or starts-with(w:r/w:t, ‘1)’)],error,请检查列项层级符号使用是否正确：第一层用——或a)；第二层用·或1)。
F846,7.5.4,可使用黑体字突出列项中的关键术语或短语。,列项,xpath,//w:p[starts-with(w:r/w:t, ‘——’) or starts-with(w:r/w:t, ‘a)’)]/w:r/w:rPr/w:b[@w:val=’true’],warning,列项中的关键术语可用黑体强调，但非必需。
